labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:ar7c4by46qjdydhdevvrndac,moderation.bsky.app,Bluesky Moderation Service,official_platform,platform-root,True,True,True,True,True,908000,277500,854443,18,1,2026-06-08T17:05:22Z,2026-06-08T17:05:22Z,2026-06-08T23:24:13.937292Z,stable,accessible,declared,high,False,True
did:plc:s45hbf5dqdkjpwuuq4djo6l2,antiantiai.bsky.social,"Anti ""Anti-AI"" Labeler",third_party,unknown,True,False,False,False,False,908000,277000,9179,0,0,,,2026-06-08T23:24:41.029808Z,stable,accessible,declared,high,False,False
did:plc:newitj5jo3uel7o4mnf3vj2o,xblock.aendra.dev,XBlock Screenshot Labeller,third_party,experimental,True,True,True,True,True,908000,277000,906160,13,2,2026-04-07T13:05:51.137855Z,2026-04-13T18:57:26.672849Z,2026-06-08T23:24:47.240601Z,stable,accessible,declared,high,True,False
did:plc:g6c6zaif2tjvdlmkkibj2avz,labeler.plural.host,Plural System Labeler,third_party,unknown,True,False,False,False,False,906500,276500,202,0,0,,,2026-06-08T23:25:12.254408Z,stable,accessible,declared,high,False,False
did:plc:6ebfnuunfngxfw3rth3ewojw,label.haus,label haus,official_platform,moderation-infrastructure,True,True,True,True,True,708300,274000,45747,2,1,2026-04-17T14:26:13.474799Z,2026-04-17T14:26:13.474799Z,2026-06-08T23:25:22.566369Z,stable,accessible,declared,high,False,True
did:plc:fqfzpua2rp5io5nmxcixvdvm,oracle.posters.rip,The Cave of Trophonius,third_party,unknown,True,False,False,False,False,698575,67575,680200,0,0,,,2026-06-08T08:34:52.372804Z,bursty,accessible,declared,high,False,False
did:plc:gyh4pns3p2l3vg6fw52lefvj,snubstack.boo,,third_party,moderation-infrastructure,True,True,True,False,True,650332,275500,650063,3,1,2026-04-22T19:29:29.444799Z,2026-04-22T19:29:29.444799Z,2026-06-08T23:25:28.482532Z,stable,accessible,declared,high,False,False
did:plc:uxjwly6emtgik7juvxxdpl3c,labeler.antisubstack.fyi,Anti-Substack Labeler: Substack Funds Nazis,third_party,moderation-infrastructure,True,True,True,True,False,493800,19000,390572,1,6,2026-06-02T19:42:10.237575Z,2026-06-05T17:35:14.450838Z,2026-06-08T04:38:26.089506Z,bursty,accessible,declared,high,False,False
did:plc:r5ju6hyf6p7lufdpelj37wnk,uspol-labeler.bsky.social,US Politics Labeler,third_party,unknown,True,False,False,False,False,446585,86269,446560,0,0,,,2026-06-08T23:24:28.939195Z,stable,accessible,declared,high,False,False
did:plc:gm7ifwl7flkymfk6mjzt37st,fucks.supply,Fucks Supply,third_party,moderation-infrastructure,True,True,True,True,True,416885,127780,235,1,4,2026-04-13T02:09:52.105512Z,2026-04-13T03:37:56.770209Z,2026-06-08T23:25:17.992104Z,stable,accessible,declared,high,False,False
did:plc:uyauirpjzk6le4ygqzatcwnq,pds.labeler.tny.im,Independent PDS Labeler,third_party,moderation-infrastructure,True,True,True,True,False,357956,271100,122777,102,112,2026-03-06T22:11:26.974331Z,2026-06-03T18:42:57.621283Z,2026-06-08T23:24:35.510754Z,stable,accessible,declared,high,False,False
did:plc:e4elbtctnfqocyfcml6h2lf7,skywatch.blue,Skywatch Blue,official_platform,moderation-infrastructure,True,True,True,True,True,262475,26535,254997,35,4,2026-04-15T16:53:45.901299Z,2026-05-19T23:19:15.619785Z,2026-06-08T23:24:18.543583Z,stable,accessible,declared,high,False,True
did:plc:cdkysjo2taj2jpy3qoostthu,bottags.bsky.social,Bot Tag Labeler,third_party,unknown,True,False,False,False,False,121267,0,120577,0,0,,,2026-06-08T04:38:26.089506Z,stable,down,declared,medium,False,False
did:plc:kwrnsjs7shplkwzpentb7yqv,kys.makersfield.co,Kill Yr Substack,third_party,moderation-infrastructure,True,True,True,True,True,101450,0,101450,1,1,2026-05-21T19:28:18.965380Z,2026-05-21T19:28:18.965380Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:3w5f2ypdx7hrxlxvlfbkqvym,mediardaire.bsky.social,Médiardaires,third_party,unknown,True,False,False,False,False,73403,17494,73163,0,0,,,2026-06-08T23:25:00.284216Z,stable,accessible,declared,high,False,False
did:plc:adzprud3ccqhgldhortugwar,facelabels.bsky.social,Trump Face Labeler,third_party,unknown,True,False,False,False,False,58779,14097,58500,0,0,,,2026-06-08T23:24:58.729467Z,stable,accessible,declared,high,False,False
did:plc:oubsyca6hhgqhmbbk27lvs7c,stechlab-labels.bsky.social,Account Activity Labeler,third_party,moderation-infrastructure,True,True,True,True,False,57785,44885,32358,26,33,2026-03-06T11:20:38.296379Z,2026-05-01T03:14:38.748888Z,2026-06-08T20:04:43.746233Z,bursty,accessible,declared,high,False,False
did:plc:l37i5se642dgeb7kmrdwoqv4,atls.city,ATlas,third_party,moderation-infrastructure,True,True,True,True,True,56796,9078,52260,5,5,2026-04-14T18:55:32.974127Z,2026-05-22T05:26:03.606279Z,2026-06-08T23:24:57.678433Z,stable,accessible,declared,high,False,False
did:plc:bv3lcacietc6fkdokxfqtdkj,labeler.nunnybabbit.com,NunnyBabbit Labeler,third_party,unknown,True,False,False,False,False,54410,13142,28601,0,0,,,2026-06-08T23:24:26.361614Z,bursty,accessible,declared,high,False,False
did:plc:vfibt4bgozsdx6rnnnpha3x7,recordcollector.edavis.dev,Record Collector,third_party,experimental,True,True,True,True,True,50727,21548,11555,67,5,2026-03-07T20:35:15.047324Z,2026-04-09T04:32:36.487417Z,2026-06-08T23:24:16.959791Z,stable,accessible,declared,high,True,False
did:plc:3eivfiql4memqxkryeu4tqnk,mod.shawn.party,Spoiler Droid,third_party,unknown,True,False,False,False,False,49224,4042,23598,0,0,,,2026-06-08T23:24:36.879889Z,stable,accessible,declared,high,False,False
